SAP Community Tags;;;;;;;;;;;
"And Associated ""Tag Pages""";;;;;;;;;;;
;;;;;;;;;;;
Tag Names;;;;;;;;Allowed Tagging;Term ID;Associated Tag Page (Click on a link to open the page and follow the tag);
;;;SAP R/3 add-on for automotive;;;;(level 3);Primary and secondary;01200615320800000273;https://go.sap.com/community/tag.html?id=01200615320800000273;
;;;SAP R/3 add-on for banking;;;;(level 3);Primary and secondary;01200615320800000265;https://go.sap.com/community/tag.html?id=01200615320800000265;
;;;SAP R/3 add-on for consumer products;;;;(level 3);Primary and secondary;01200615320800000142;https://go.sap.com/community/tag.html?id=01200615320800000142;
;;;SAP R/3 add-on for Dun & Bradstreet;;;;(level 3);Primary and secondary;01200615320800000332;https://go.sap.com/community/tag.html?id=01200615320800000332;
;;;SAP R/3 add-on for engineering, construction, and operations;;;;(level 3);Primary and secondary;01200615320800000277;https://go.sap.com/community/tag.html?id=01200615320800000277;
;;;SAP R/3 add-on for high tech;;;;(level 3);Primary and secondary;01200615320800000278;https://go.sap.com/community/tag.html?id=01200615320800000278;
;;;SAP R/3 add-on for information lifecycle management;;;;(level 3);Primary and secondary;01200314690800001409;https://go.sap.com/community/tag.html?id=01200314690800001409;
;;;SAP R/3 add-on for mill products;;;;(level 3);Primary and secondary;01200615320800000192;https://go.sap.com/community/tag.html?id=01200615320800000192;
;;;SAP R/3 add-on for public sector;;;;(level 3);Primary and secondary;01200615320800000254;https://go.sap.com/community/tag.html?id=01200615320800000254;
;;;SAP R/3 Enterprise;;;;(level 3);Primary and secondary;01200615320800000579;https://go.sap.com/community/tag.html?id=01200615320800000579;
;;;SAP R/3 Enterprise add-on for information lifecycle management;;;;(level 3);Primary and secondary;01200615320800003348;https://go.sap.com/community/tag.html?id=01200615320800003348;
;;;SAP R/3 Enterprise add-on for media;;;;(level 3);Primary and secondary;01200615320800000208;https://go.sap.com/community/tag.html?id=01200615320800000208;
;;;SAP R/3 Enterprise add-on for mining;;;;(level 3);Primary and secondary;01200615320800000162;https://go.sap.com/community/tag.html?id=01200615320800000162;
;;;SAP R/3 Enterprise add-on for oil and gas;;;;(level 3);Primary and secondary;01200615320800000232;https://go.sap.com/community/tag.html?id=01200615320800000232;
;;;SAP R/3 Enterprise add-on for telecommunications;;;;(level 3);Primary and secondary;01200615320800000209;https://go.sap.com/community/tag.html?id=01200615320800000209;
;;;SAP R/3 mobile services for utility companies, localization for India;;;;(level 3);Primary and secondary;01200314690800000198;https://go.sap.com/community/tag.html?id=01200314690800000198;
;;SAP S/4HANA;;;;;(level 2);Displayed, but not selectable;73554900100700001353;N/A;
;;;SAP S/4HANA;;;;(level 3);Primary and secondary;73554900100800000266;https://go.sap.com/community/tag.html?id=73554900100800000266;
;;;SAP S/4HANA Cloud;;;;(level 3);Primary and secondary;67837800100800007389;https://go.sap.com/community/tag.html?id=67837800100800007389;
;;;SAP S/4HANA Cloud front end;;;;(level 3);Primary and secondary;73555000100800000362;https://go.sap.com/community/tag.html?id=73555000100800000362;
;;;SAP S/4HANA Finance;;;;(level 3);Primary and secondary;67837800100800006927;https://go.sap.com/community/tag.html?id=67837800100800006927;
;;assessorial charge management;;;;;(level 2);Displayed, but not selectable;73554900100700001581;N/A;
;;;assessorial charge management;;;;(level 3);Primary and secondary;73555000100800000351;https://go.sap.com/community/tag.html?id=73555000100800000351;
;;asset accounting multiple calendar tool;;;;;(level 2);Displayed, but not selectable;73554900100700000657;N/A;
;;;asset accounting multiple calendar tool;;;;(level 3);Primary and secondary;67838200100800004047;https://go.sap.com/community/tag.html?id=67838200100800004047;
;;Asset and Liability Management by SAP and Sungard;;;;;(level 2);Displayed, but not selectable;73554900100700000658;N/A;
;;;Asset and Liability Management by SAP and Sungard;;;;(level 3);Primary and secondary;01200615320800000806;https://go.sap.com/community/tag.html?id=01200615320800000806;
;;asset management for oil and gas;;;;;(level 2);Displayed, but not selectable;73554900100700000659;N/A;
;;;asset management for oil and gas;;;;(level 3);Primary and secondary;67838200100800006368;https://go.sap.com/community/tag.html?id=67838200100800006368;
;;banking services from SAP;;;;;(level 2);Displayed, but not selectable;73554900100700000661;N/A;
;;;analytical banking extension for banking services from SAP;;;;(level 3);Primary and secondary;01200615320800000876;https://go.sap.com/community/tag.html?id=01200615320800000876;
;;;banking services from SAP;;;;(level 3);Primary and secondary;01200615320800000685;https://go.sap.com/community/tag.html?id=01200615320800000685;
;;;banking services from SAP, localization for Argentina;;;;(level 3);Primary and secondary;01200615320800003585;https://go.sap.com/community/tag.html?id=01200615320800003585;
;;;banking services from SAP, localization for Brazil;;;;(level 3);Primary and secondary;01200615320800003149;https://go.sap.com/community/tag.html?id=01200615320800003149;
;;;banking services from SAP, localization for C.I.S.;;;;(level 3);Primary and secondary;67837800100800005571;https://go.sap.com/community/tag.html?id=67837800100800005571;
;;;banking services from SAP, localization for Latin America;;;;(level 3);Primary and secondary;67838200100800004689;https://go.sap.com/community/tag.html?id=67838200100800004689;
;;;localizations for banking services from SAP;;;;(level 3);Primary and secondary;73554900100800000010;https://go.sap.com/community/tag.html?id=73554900100800000010;
;;capital investment planning;;;;;(level 2);Displayed, but not selectable;73554900100700000682;N/A;
;;;capital investment planning;;;;(level 3);Primary and secondary;67838200100800005411;https://go.sap.com/community/tag.html?id=67838200100800005411;
;;corporate payment connector;;;;;(level 2);Displayed, but not selectable;73554900100700001185;N/A;
;;;corporate payment connector for American Express;;;;(level 3);Primary and secondary;01200615320800003420;https://go.sap.com/community/tag.html?id=01200615320800003420;
;;;corporate payment connector for HSBC;;;;(level 3);Primary and secondary;67837800100800004468;https://go.sap.com/community/tag.html?id=67837800100800004468;
;;electronic ledger management;;;;;(level 2);Displayed, but not selectable;73554900100700000709;N/A;
;;;electronic ledger management for Turkey;;;;(level 3);Primary and secondary;67837800100800006921;https://go.sap.com/community/tag.html?id=67837800100800006921;
;;electronic services invoicing for Brazil (nota fiscal de servicos eletronica);;;;;(level 2);Displayed, but not selectable;73555000100700000014;N/A;
;;;electronic services invoicing for Brazil (nota fiscal de servicos eletronica);;;;(level 3);Primary and secondary;67838200100800006448;https://go.sap.com/community/tag.html?id=67838200100800006448;
;;enhanced security issuance management;;;;;(level 2);Displayed, but not selectable;73554900100700000710;N/A;
;;;enhanced security issuance management;;;;(level 3);Primary and secondary;67837800100800006903;https://go.sap.com/community/tag.html?id=67837800100800006903;
;;extended functions for U.S. federal agencies;;;;;(level 2);Displayed, but not selectable;73554900100700000712;N/A;
;;;extended functions for U.S. federal agencies;;;;(level 3);Primary and secondary;01200615320800000243;https://go.sap.com/community/tag.html?id=01200615320800000243;
;;financial foundation;;;;;(level 2);Displayed, but not selectable;73554900100700001301;N/A;
;;;financial foundation;;;;(level 3);Primary and secondary;67838200100800006885;https://go.sap.com/community/tag.html?id=67838200100800006885;
;;German insurance administration;;;;;(level 2);Displayed, but not selectable;73554900100700000721;N/A;
;;;German insurance administration;;;;(level 3);Primary and secondary;01200314690800000124;https://go.sap.com/community/tag.html?id=01200314690800000124;
;;Insurance Accounting;;;;;(level 2);Displayed, but not selectable;73554900100700000720;N/A;
;;;Insurance Accounting;;;;(level 3);Primary and secondary;01200314690800002338;https://go.sap.com/community/tag.html?id=01200314690800002338;
;;length extension for general ledger accounting;;;;;(level 2);Displayed, but not selectable;73554900100700000725;N/A;
;;;length extension for general ledger accounting;;;;(level 3);Primary and secondary;01200314690800002589;https://go.sap.com/community/tag.html?id=01200314690800002589;
;;operational banking extension for Commonwealth Bank of Australia;;;;;(level 2);Displayed, but not selectable;73554900100700000664;N/A;
;;;operational banking extension for Commonwealth Bank of Australia;;;;(level 3);Primary and secondary;01200314690800000667;https://go.sap.com/community/tag.html?id=01200314690800000667;
;;SAP Access Approver;;;;;(level 2);Displayed, but not selectable;73554900100700000994;N/A;
;;;SAP GRC Access Approver;;;;(level 3);Primary and secondary;01200615320800003830;https://go.sap.com/community/tag.html?id=01200615320800003830;
;;;SAP GRC Access Approver for Android;;;;(level 3);Primary and secondary;67837800100800004877;https://go.sap.com/community/tag.html?id=67837800100800004877;
;;;SAP GRC Access Approver for iPhone;;;;(level 3);Primary and secondary;01200615320800003842;https://go.sap.com/community/tag.html?id=01200615320800003842;
;;SAP Accounting Doc Approver;;;;;(level 2);Displayed, but not selectable;73554900100700000762;N/A;
;;;SAP Accounting Doc Approver for iPhone;;;;(level 3);Primary and secondary;67838200100800004354;https://go.sap.com/community/tag.html?id=67838200100800004354;
;;SAP Archiving and SAP Document Access by OpenText;;;;;(level 2);Displayed, but not selectable;73554900100700000782;N/A;
;;;SAP Archiving and SAP Document Access by OpenText;;;;(level 3);Primary and secondary;01200615320800000706;https://go.sap.com/community/tag.html?id=01200615320800000706;
;;;SAP Archiving and SAP Document Access by OpenText for SAP S/4HANA;;;;(level 3);Primary and secondary;73554900100800000472;https://go.sap.com/community/tag.html?id=73554900100800000472;
;;;SAP BusinessObjects Lumira, server version for teams;;;;(level 3);Primary and secondary;73555000100800000046;https://go.sap.com/community/tag.html?id=73555000100800000046;
;;;SAP HANA Cloud Platform, smart data streaming;;;;(level 3);Primary and secondary;73555000100800000215;https://go.sap.com/community/tag.html?id=73555000100800000215;
;;;SAP Mobile Defense and Security;;;;(level 3);Primary and secondary;01200314690800000154;https://go.sap.com/community/tag.html?id=01200314690800000154;
;;;SAP Multiresource Scheduling, optimizer version;;;;(level 3);Primary and secondary;01200314690800000487;https://go.sap.com/community/tag.html?id=01200314690800000487;
;;SAP Asset Lifecycle Accounting;;;;;(level 2);Displayed, but not selectable;73554900100700000784;N/A;
;;;SAP Asset Lifecycle Accounting;;;;(level 3);Primary and secondary;01200615320800002961;https://go.sap.com/community/tag.html?id=01200615320800002961;
;;SAP Asset Retirement Obligation Management;;;;;(level 2);Displayed, but not selectable;73554900100700000785;N/A;
;;;SAP Asset Retirement Obligation Management;;;;(level 3);Primary and secondary;01200314690800001893;https://go.sap.com/community/tag.html?id=01200314690800001893;
;;SAP Audit Watch;;;;;(level 2);Displayed, but not selectable;73554900100700000787;N/A;
;;;SAP Audit Watch;;;;(level 3);Primary and secondary;01200314690800000168;https://go.sap.com/community/tag.html?id=01200314690800000168;
;;SAP Bank Analyzer;;;;;(level 2);Displayed, but not selectable;73554900100700000791;N/A;
;;;SAP Bank Analyzer;;;;(level 3);Primary and secondary;01200615320800000452;https://go.sap.com/community/tag.html?id=01200615320800000452;
;;;SAP Bank Analyzer, localization for Russia;;;;(level 3);Primary and secondary;01200314690800001224;https://go.sap.com/community/tag.html?id=01200314690800001224;
;;SAP Bank Communication Management;;;;;(level 2);Displayed, but not selectable;73554900100700000792;N/A;
;;;SAP Bank Communication Management, option for multisystem payment consolidation;;;;(level 3);Primary and secondary;01200314690800002317;https://go.sap.com/community/tag.html?id=01200314690800002317;
;;SAP Billing Consolidation;;;;;(level 2);Displayed, but not selectable;73554900100700000795;N/A;
;;;SAP Billing Consolidation;;;;(level 3);Primary and secondary;01200615320800000560;https://go.sap.com/community/tag.html?id=01200615320800000560;
;;SAP Business Banking;;;;;(level 2);Displayed, but not selectable;73554900100700000798;N/A;
;;;SAP Business Banking;;;;(level 3);Primary and secondary;67838200100800006777;https://go.sap.com/community/tag.html?id=67838200100800006777;
;;;SAP Business Banking for Android;;;;(level 3);Primary and secondary;67838200100800006778;https://go.sap.com/community/tag.html?id=67838200100800006778;
;;;SAP Business Banking for iOS;;;;(level 3);Primary and secondary;67838200100800006779;https://go.sap.com/community/tag.html?id=67838200100800006779;
;;SAP Business in Focus;;;;;(level 2);Displayed, but not selectable;73554900100700000802;N/A;
;;;SAP Business in Focus;;;;(level 3);Primary and secondary;67837800100800005569;https://go.sap.com/community/tag.html?id=67837800100800005569;
;;SAP BusinessObjects Budgeting and Planning for Public Sector;;;;;(level 2);Displayed, but not selectable;73555000100700000015;N/A;
;;;SAP BusinessObjects Budgeting and Planning for Public Sector;;;;(level 3);Primary and secondary;73555000100800000103;https://go.sap.com/community/tag.html?id=73555000100800000103;
;;SAP BusinessObjects Cost and Revenue Allocation for Financial Products;;;;;(level 2);Displayed, but not selectable;73554900100700001357;N/A;
;;;SAP BusinessObjects Cost and Revenue Allocation for Financial Products;;;;(level 3);Primary and secondary;73555000100800000092;https://go.sap.com/community/tag.html?id=73555000100800000092;
;;SAP BusinessObjects Disclosure Management;;;;;(level 2);Displayed, but not selectable;73554900100700000915;N/A;
;;;SAP BusinessObjects Disclosure Management;;;;(level 3);Primary and secondary;01200615320800003393;https://go.sap.com/community/tag.html?id=01200615320800003393;
;;;SAP BusinessObjects Disclosure Management, XBRL reporting add-ons;;;;(level 3);Primary and secondary;67837800100800007347;https://go.sap.com/community/tag.html?id=67837800100800007347;
;;SAP BusinessObjects Financial Consolidation;;;;;(level 2);Displayed, but not selectable;73554900100700000973;N/A;
;;;BusinessObjects Financial Governance;;;;(level 3);Primary and secondary;01200615320800001753;https://go.sap.com/community/tag.html?id=01200615320800001753;
;;;SAP BusinessObjects Extended Analytics;;;;(level 3);Primary and secondary;01200314690800000355;https://go.sap.com/community/tag.html?id=01200314690800000355;
;;;SAP BusinessObjects Financial Consolidation;;;;(level 3);Primary and secondary;01200314690800000356;https://go.sap.com/community/tag.html?id=01200314690800000356;
;;;SAP BusinessObjects Financial Consolidation starter kit for IFRS;;;;(level 3);Primary and secondary;01200314690800000399;https://go.sap.com/community/tag.html?id=01200314690800000399;
;;;SAP BusinessObjects Financial Consolidation starter kit for Japanese GAAP;;;;(level 3);Primary and secondary;01200314690800000401;https://go.sap.com/community/tag.html?id=01200314690800000401;
;;;SAP BusinessObjects Financial Consolidation starter kit for U.S. GAAP;;;;(level 3);Primary and secondary;01200314690800000365;https://go.sap.com/community/tag.html?id=01200314690800000365;
;;;SAP BusinessObjects Financial Consolidation starter kit for UK IFRS;;;;(level 3);Primary and secondary;01200314690800000687;https://go.sap.com/community/tag.html?id=01200314690800000687;
;;;SAP BusinessObjects Financial Consolidation, localization for French IFRS;;;;(level 3);Primary and secondary;01200314690800000402;https://go.sap.com/community/tag.html?id=01200314690800000402;
;;SAP BusinessObjects Financial Information Management;;;;;(level 2);Displayed, but not selectable;73554900100700000974;N/A;
;;;SAP BusinessObjects Financial Information Management;;;;(level 3);Primary and secondary;01200615320800001186;https://go.sap.com/community/tag.html?id=01200615320800001186;
;;SAP BusinessObjects Planning and Consolidation;;;;;(level 2);Displayed, but not selectable;73554900100700000805;N/A;
;;;BusinessObjects Edge Planning;;;;(level 3);Primary and secondary;01200615320800001228;https://go.sap.com/community/tag.html?id=01200615320800001228;
;;;BusinessObjects Planning;;;;(level 3);Primary and secondary;01200615320800001256;https://go.sap.com/community/tag.html?id=01200615320800001256;
;;;BusinessObjects Planning, extended edition;;;;(level 3);Primary and secondary;01200615320800001257;https://go.sap.com/community/tag.html?id=01200615320800001257;
;;;SAP Business Objects Planning and Consolidation, starter kit for IFRS on the Microsoft platform;;;;(level 3);Primary and secondary;01200314690800001038;https://go.sap.com/community/tag.html?id=01200314690800001038;
;;;SAP BusinessObjects Planning and Consolidation for Banking;;;;(level 3);Primary and secondary;01200615320800002973;https://go.sap.com/community/tag.html?id=01200615320800002973;
;;;SAP BusinessObjects Planning and Consolidation for Healthcare;;;;(level 3);Primary and secondary;01200615320800002975;https://go.sap.com/community/tag.html?id=01200615320800002975;
;;;SAP BusinessObjects Planning and Consolidation for Public Sector;;;;(level 3);Primary and secondary;01200615320800002974;https://go.sap.com/community/tag.html?id=01200615320800002974;
;;;SAP BusinessObjects Planning and Consolidation for Public Sector, option for SAP NetWeaver;;;;(level 3);Primary and secondary;01200615320800003650;https://go.sap.com/community/tag.html?id=01200615320800003650;
;;;SAP BusinessObjects Planning and Consolidation, Edge edition, version for the Microsoft platform;;;;(level 3);Primary and secondary;01200314690800002348;https://go.sap.com/community/tag.html?id=01200314690800002348;
;;;SAP BusinessObjects Planning and Consolidation, version for SAP NetWeaver;;;;(level 3);Primary and secondary;01200615320800001016;https://go.sap.com/community/tag.html?id=01200615320800001016;
;;;SAP BusinessObjects Planning and Consolidation, version for the Microsoft platform;;;;(level 3);Primary and secondary;01200615320800000726;https://go.sap.com/community/tag.html?id=01200615320800000726;
;;;SAP BusinessObjects Planning for Public Sector;;;;(level 3);Primary and secondary;01200314690800001940;https://go.sap.com/community/tag.html?id=01200314690800001940;
;;SAP BusinessObjects Profitability and Cost Management;;;;;(level 2);Displayed, but not selectable;73554900100700001129;N/A;
;;;SAP BusinessObjects Profitability and Cost Management;;;;(level 3);Primary and secondary;01200314690800000353;https://go.sap.com/community/tag.html?id=01200314690800000353;
;;SAP BusinessObjects Strategy Management;;;;;(level 2);Displayed, but not selectable;73554900100700001193;N/A;
;;;SAP BusinessObjects Strategy Management;;;;(level 3);Primary and secondary;01200615320800000718;https://go.sap.com/community/tag.html?id=01200615320800000718;
;;;SAP BusinessObjects Strategy Management for iPad;;;;(level 3);Primary and secondary;67838200100800004073;https://go.sap.com/community/tag.html?id=67838200100800004073;
;;SAP Capital Yield Tax Management;;;;;(level 2);Displayed, but not selectable;73554900100700000827;N/A;
;;;SAP Capital Yield Tax Management;;;;(level 3);Primary and secondary;01200314690800000140;https://go.sap.com/community/tag.html?id=01200314690800000140;
;;;SAP Capital Yield Tax Management for Banking;;;;(level 3);Primary and secondary;01200615320800002984;https://go.sap.com/community/tag.html?id=01200615320800002984;
;;SAP Carbon Impact OnDemand;;;;;(level 2);Displayed, but not selectable;73554900100700000828;N/A;
;;;SAP Carbon Impact OnDemand;;;;(level 3);Primary and secondary;01200615320800002328;https://go.sap.com/community/tag.html?id=01200615320800002328;
;;SAP Cash Forecasting;;;;;(level 2);Displayed, but not selectable;73554900100700000832;N/A;
;;;SAP Cash Forecasting;;;;(level 3);Primary and secondary;67838200100800004071;https://go.sap.com/community/tag.html?id=67838200100800004071;
;;SAP Cloud for Financials;;;;;(level 2);Displayed, but not selectable;73554900100700000841;N/A;
;;;SAP Cloud for Financials;;;;(level 3);Primary and secondary;67838200100800004949;https://go.sap.com/community/tag.html?id=67838200100800004949;
;;;SAP Cloud for Financials mobile app;;;;(level 3);Primary and secondary;67837800100800005983;https://go.sap.com/community/tag.html?id=67837800100800005983;
;;SAP Cloud for Travel and Expense;;;;;(level 2);Displayed, but not selectable;73554900100700000843;N/A;
;;;SAP Cloud for Travel and Expense;;;;(level 3);Primary and secondary;01200314690800001397;https://go.sap.com/community/tag.html?id=01200314690800001397;
;;;SAP Cloud for Travel and Expense for iPad;;;;(level 3);Primary and secondary;01200314690800002564;https://go.sap.com/community/tag.html?id=01200314690800002564;
;;;SAP Cloud for Travel and Expense integration;;;;(level 3);Primary and secondary;01200314690800002080;https://go.sap.com/community/tag.html?id=01200314690800002080;
;;;SAP Cloud for Travel and Expense mobile app;;;;(level 3);Primary and secondary;01200314690800002563;https://go.sap.com/community/tag.html?id=01200314690800002563;
;;SAP Collections and Disbursements for Insurance;;;;;(level 2);Displayed, but not selectable;73554900100700000846;N/A;
;;;SAP Collections and Disbursements for Insurance;;;;(level 3);Primary and secondary;01200615320800000262;https://go.sap.com/community/tag.html?id=01200615320800000262;
;;SAP Collections Insight;;;;;(level 2);Displayed, but not selectable;73554900100700000847;N/A;
;;;SAP Collections Insight;;;;(level 3);Primary and secondary;67838200100800004070;https://go.sap.com/community/tag.html?id=67838200100800004070;
;;;SAP Collections Insight for Android;;;;(level 3);Primary and secondary;67838200100800005817;https://go.sap.com/community/tag.html?id=67838200100800005817;
;;;SAP Collections Insight for iPhone;;;;(level 3);Primary and secondary;67838200100800004947;https://go.sap.com/community/tag.html?id=67838200100800004947;
;;SAP Commissions Check;;;;;(level 2);Displayed, but not selectable;73554900100700000849;N/A;
;;;SAP Commissions Check;;;;(level 3);Primary and secondary;01200615320800003476;https://go.sap.com/community/tag.html?id=01200615320800003476;
;;SAP Common Area Maintenance Expense Recovery;;;;;(level 2);Displayed, but not selectable;73554900100700000850;N/A;
;;;SAP Common Area Maintenance Expense Recovery;;;;(level 3);Primary and secondary;01200615320800002985;https://go.sap.com/community/tag.html?id=01200615320800002985;
;;SAP Compliance Management for Sarbanes-Oxley;;;;;(level 2);Displayed, but not selectable;73554900100700000855;N/A;
;;;SAP Compliance Management for Sarbanes-Oxley;;;;(level 3);Primary and secondary;01200314690800000118;https://go.sap.com/community/tag.html?id=01200314690800000118;
;;SAP Consolidated Payables Link for U.S. Bank;;;;;(level 2);Displayed, but not selectable;73554900100700000668;N/A;
;;;SAP Consolidated Payables Link for U.S. Bank;;;;(level 3);Primary and secondary;67837800100800006762;https://go.sap.com/community/tag.html?id=67837800100800006762;
;;SAP Contract Accounts Receivable and Payable;;;;;(level 2);Displayed, but not selectable;73554900100700000871;N/A;
;;;SAP Contract Accounts Receivable and Payable;;;;(level 3);Primary and secondary;01200615320800000657;https://go.sap.com/community/tag.html?id=01200615320800000657;
;;SAP Convergent Charging;;;;;(level 2);Displayed, but not selectable;73554900100700000866;N/A;
;;;SAP Convergent Charging;;;;(level 3);Primary and secondary;01200314690800001318;https://go.sap.com/community/tag.html?id=01200314690800001318;
;;SAP Convergent Mediation by DigitalRoute;;;;;(level 2);Displayed, but not selectable;73554900100700000867;N/A;
;;;SAP Convergent Mediation by DigitalRoute;;;;(level 3);Primary and secondary;67838200100800004272;https://go.sap.com/community/tag.html?id=67838200100800004272;
;;SAP Corporate Connectivity for Banking for Westpac;;;;;(level 2);Displayed, but not selectable;73554900100700000870;N/A;
;;;SAP Corporate Connectivity for Banking for Westpac;;;;(level 3);Primary and secondary;67837800100800006748;https://go.sap.com/community/tag.html?id=67837800100800006748;
;;SAP Customer Financial Factsheet;;;;;(level 2);Displayed, but not selectable;73554900100700000888;N/A;
;;;SAP Customer Financial Fact Sheet;;;;(level 3);Primary and secondary;01200615320800003645;https://go.sap.com/community/tag.html?id=01200615320800003645;
;;;SAP Customer Financial Fact Sheet for Android;;;;(level 3);Primary and secondary;67837800100800004430;https://go.sap.com/community/tag.html?id=67837800100800004430;
;;;SAP Customer Financial Fact Sheet for BlackBerry 10;;;;(level 3);Primary and secondary;67838200100800006029;https://go.sap.com/community/tag.html?id=67838200100800006029;
;;;SAP Customer Financial Fact Sheet for iPad;;;;(level 3);Primary and secondary;67837800100800004879;https://go.sap.com/community/tag.html?id=67837800100800004879;
;;;SAP Customer Financial Fact Sheet for iPhone;;;;(level 3);Primary and secondary;01200615320800003837;https://go.sap.com/community/tag.html?id=01200615320800003837;
;;;SAP Customer Financial Fact Sheet for Windows phones;;;;(level 3);Primary and secondary;67838200100800005699;https://go.sap.com/community/tag.html?id=67838200100800005699;
;;;SAP Customer Financial Fact Sheet for Windows tablets;;;;(level 3);Primary and secondary;67838200100800005479;https://go.sap.com/community/tag.html?id=67838200100800005479;
;;SAP Deduction Management Component;;;;;(level 2);Displayed, but not selectable;73554900100700000907;N/A;
;;;SAP Deduction Management Component;;;;(level 3);Primary and secondary;01200615320800000676;https://go.sap.com/community/tag.html?id=01200615320800000676;
;;SAP Deposits Management;;;;;(level 2);Displayed, but not selectable;73554900100700000911;N/A;
;;;SAP Deposits Management;;;;(level 3);Primary and secondary;01200615320800000302;https://go.sap.com/community/tag.html?id=01200615320800000302;
;;;SAP Deposits Management, localization for Russia;;;;(level 3);Primary and secondary;01200314690800001223;https://go.sap.com/community/tag.html?id=01200314690800001223;
;;SAP Document Access by OpenText;;;;;(level 2);Displayed, but not selectable;73554900100700000916;N/A;
;;;SAP Document Access by OpenText;;;;(level 3);Primary and secondary;01200615320800000707;https://go.sap.com/community/tag.html?id=01200615320800000707;
;;SAP Document Presentment by OpenText;;;;;(level 2);Displayed, but not selectable;73554900100700000918;N/A;
;;;SAP Document Presentment by OpenText;;;;(level 3);Primary and secondary;01200314690800001681;https://go.sap.com/community/tag.html?id=01200314690800001681;
;;;SAP Document Presentment by OpenText, add-on for business correspondence;;;;(level 3);Primary and secondary;01200314690800003677;https://go.sap.com/community/tag.html?id=01200314690800003677;
;;SAP E-Invoicing Compliance OnDemand;;;;;(level 2);Displayed, but not selectable;73554900100700000924;N/A;
;;;SAP E-Invoicing Compliance OnDemand;;;;(level 3);Primary and secondary;01200615320800003586;https://go.sap.com/community/tag.html?id=01200615320800003586;
;;SAP Enterprise Risk and Solvency Management for Insurance;;;;;(level 2);Displayed, but not selectable;73554900100700000943;N/A;
;;;SAP Enterprise Risk and Solvency Management for Insurance;;;;(level 3);Primary and secondary;01200314690800001944;https://go.sap.com/community/tag.html?id=01200314690800001944;
;;SAP Enterprise Risk Reporting for Banking;;;;;(level 2);Displayed, but not selectable;73554900100700000944;N/A;
;;;SAP Enterprise Risk Reporting for Banking;;;;(level 3);Primary and secondary;01200615320800002969;https://go.sap.com/community/tag.html?id=01200615320800002969;
;;SAP EPM Unwired;;;;;(level 2);Displayed, but not selectable;73554900100700000939;N/A;
;;;SAP EPM Unwired for iPad;;;;(level 3);Primary and secondary;67837800100800005828;https://go.sap.com/community/tag.html?id=67837800100800005828;
;;SAP Financial Closing cockpit;;;;;(level 2);Displayed, but not selectable;73554900100700000972;N/A;
;;;SAP Financial Closing cockpit;;;;(level 3);Primary and secondary;01200615320800003637;https://go.sap.com/community/tag.html?id=01200615320800003637;
;;SAP Financial Services Network;;;;;(level 2);Displayed, but not selectable;73554900100700000975;N/A;
;;;connector for SAP Financial Services Network;;;;(level 3);Primary and secondary;67837800100800004427;https://go.sap.com/community/tag.html?id=67837800100800004427;
;;;SAP Connector to eBAgent;;;;(level 3);Primary and secondary;01200615320800003056;https://go.sap.com/community/tag.html?id=01200615320800003056;
;;;SAP Financial Services Network;;;;(level 3);Primary and secondary;67837800100800004307;https://go.sap.com/community/tag.html?id=67837800100800004307;
;;SAP Financial Statement Insights;;;;;(level 2);Displayed, but not selectable;73554900100700001591;N/A;
;;;SAP Financial Statement Insights;;;;(level 3);Primary and secondary;73555000100800000403;https://go.sap.com/community/tag.html?id=73555000100800000403;
;;SAP Flexible Solution Billing;;;;;(level 2);Displayed, but not selectable;73554900100700000978;N/A;
;;;SAP Flexible Solution Billing;;;;(level 3);Primary and secondary;67837800100800005636;https://go.sap.com/community/tag.html?id=67837800100800005636;
;;SAP Fraud Detection Calibrator;;;;;(level 2);Displayed, but not selectable;73554900100700000983;N/A;
;;;SAP Fraud Detection Calibrator for iPad;;;;(level 3);Primary and secondary;67837800100800006743;https://go.sap.com/community/tag.html?id=67837800100800006743;
;;SAP Fraud Watch;;;;;(level 2);Displayed, but not selectable;73554900100700000984;N/A;
;;;SAP Fraud Watch;;;;(level 3);Primary and secondary;01200314690800000171;https://go.sap.com/community/tag.html?id=01200314690800000171;
;;SAP Funding Management;;;;;(level 2);Displayed, but not selectable;73554900100700000985;N/A;
;;;SAP Funding Management;;;;(level 3);Primary and secondary;01200615320800000677;https://go.sap.com/community/tag.html?id=01200615320800000677;
;;SAP Fundraising Management;;;;;(level 2);Displayed, but not selectable;73554900100700000986;N/A;
;;;SAP Fundraising Management;;;;(level 3);Primary and secondary;01200615320800002136;https://go.sap.com/community/tag.html?id=01200615320800002136;
;;SAP Funds Transfer Pricing;;;;;(level 2);Displayed, but not selectable;73554900100700000987;N/A;
;;;SAP Funds Transfer Pricing;;;;(level 3);Primary and secondary;01200314690800000567;https://go.sap.com/community/tag.html?id=01200314690800000567;
;;SAP General Ledger Migration;;;;;(level 2);Displayed, but not selectable;73554900100700000990;N/A;
;;;SAP General Ledger Migration;;;;(level 3);Primary and secondary;01200615320800000727;https://go.sap.com/community/tag.html?id=01200615320800000727;
;;SAP GRC Policy Survey;;;;;(level 2);Displayed, but not selectable;73554900100700000995;N/A;
;;;SAP GRC Policy Survey;;;;(level 3);Primary and secondary;01200615320800003829;https://go.sap.com/community/tag.html?id=01200615320800003829;
